x,y
0.0,0.33369622164365254
0.08368856383134753,0.3366450763897375
0.1711009522450928,0.29890252862680233
0.23390490764192046,0.2746970191742733
0.3001227817473056,0.2843016215343757
0.37275433954730725,0.2634593770388586
0.5421452150974747,0.2146835122654297
0.6536264477055166,0.20231299528899338
0.7440884987449587,0.1768916919048787
0.7766223444804182,0.1948635987779473
0.8461017374820757,0.177795194573874
0.8944100313601968,0.1513392238060293
0.9569208010376089,0.1588280842258563
1.070511636305176,0.11822632347374243
1.131387155959842,0.09315416966881271
1.2252701304273779,0.11077887395900607
1.3030753556727974,0.10590470019459591
1.357234080815634,0.0615713129171383
1.4248398532112965,0.058683640670796455
1.4878299747575436,0.03782284125554325
1.5551571930384707,0.05146889068511984
1.591239459223488,0.03981709238090625
1.6942278386125125,0.011586948755573645
1.7698684108286262,0.01843610621370051
1.8532120440590543,0.025690530458442995
1.9493829346182137,0.0
2.107658798106706,0.06143837678708666
2.2106735547574163,0.02399419538469494
2.2784327489376492,0.04483731073129582
2.366208110151152,0.053466164969798446
2.4406423477842067,0.07920684887606866
2.518635321409916,0.04954686725585622
2.578961159116262,0.06052082622623384
2.6787157746289756,0.07514523467199899
2.738429947113566,0.10536363859348782
2.8209751698847905,0.10907871117956952
2.8752619813626925,0.10828267422875729
2.9527767271119467,0.10533862360987747
3.060955459508343,0.13297528863784808
3.1315421044306397,0.10635853014346397
3.0550897467146623,0.06006759999371769
3.11293490959175,0.06287029325701876
3.2413370453703614,0.0574109950839756
3.3189378816635546,0.06324164326924286
3.349861182394734,0.11160135720416631
3.4190518237172416,0.11728665659469686
3.4883452281640217,0.10781922426186133
3.5784201163693807,0.1221451677614212
3.674682716944424,0.11412462277635793
3.735743816035526,0.07972292986685092
3.780328791584993,0.1137177118140194
3.8469705569356014,0.13097856793107088
3.9464580251682193,0.08910524742347536
4.015330833481326,0.06682982666558113
4.067234669737908,0.09499597012888672
4.179091292627901,0.176418802250036
4.25641166965148,0.1716317391699785
4.312092793989909,0.1778417189483392
4.397774545012648,0.16219507194412397
4.470978217965993,0.21603594718698646
4.525819805513813,0.2225540147931642
4.660954894404592,0.15029695043788072
4.775460866181099,0.1342625521688766
4.87459123796694,0.10806313337259871
4.946795816640021,0.17876438610070033
5.045418837593229,0.12055587808720317
5.072882543728737,0.2164997119987785
5.08138886318972,0.3009125517617328
5.082190035918619,0.40030229007969675
5.074981231386794,0.494573049462381
5.075521860838615,0.5697225957168908
5.050045121145622,0.6494926500994348
4.999727276829249,0.7706927742862252
5.168307472806633,0.8452796619011289
5.16168447661515,0.8772364278569789
5.144596048902864,0.9388041164826726
5.1823860650686475,0.9033923969398006
5.213121774423617,0.9971821870590618
5.1888970021026335,1.0475670953312604
5.165846152449117,1.1404500163712246
5.13913439509986,1.170913057885643
5.1573981499822175,1.2092011692595062
5.149016298308643,1.3156257800138282
5.158194112310386,1.386585332155704
5.063472170630181,1.448359247742624
5.105630469156562,1.5111661284796636
5.120980914714461,1.6279648637294886
5.093175840410637,1.7006950392056592
5.094717516343225,1.7861435790387952
5.125879710505761,1.8385799166314631
5.166081435789687,1.9017240713156862
5.172149793137102,1.9878526617147791
5.159560657085468,2.036740572492518
5.148414730063116,2.1463643438610633
5.160262020718136,2.2175358407454984
5.150183890189951,2.329036408112244
